Name;Kategorie;Gerätestufe;Angriff;Schleicher;Datenverarbeitung;Firewall;Programme
Allegiance Alpha;Cyberdecks;2;5;4;4;2;2
Allegiance Sigma;Cyberdecks;1;4;3;2;1;1
Ares Echo Unlimited;Cyberdecks;5;9;6;4;5;3
Aztechnology Defender;Cyberdecks;5;8;7;5;5;5
Aztechnology Emissary;Cyberdecks;3;2;3;3;8;1
Aztechnology Shadow Warrior;Cyberdecks;3;6;5;4;3;3
C-K Analyst;Cyberdecks;2;1;5;4;3;1
Crystal Leviathan Shatterstar;Cyberdecks;5;8;7;7;5;4
Cyberdynamix Waterkant;Cyberdecks;3;7;4;3;2;3
Erika MCD-1;Cyberdecks;1;4;3;2;1;1
Evo Sublime;Cyberdecks;4;7;6;5;5;4
Fairlight Destiny Blade;Cyberdecks;4;7;6;5;5;4
Fairlight Excalibur;Cyberdecks;6;9;8;7;6;6
Fairlight Paladin;Cyberdecks;6;9;9;8;8;6
Fuchi Cyber-4;Cyberdecks;3;6;5;5;3;3
Fuchi Cyber-6;Cyberdecks;4;7;6;5;4;4
Fuchi Cyber-7;Cyberdecks;5;8;7;6;5;5
Hermes Chariot;Cyberdecks;2;5;4;4;2;2
Jägerdeck: Fuchs;Cyberdecks;2;4;1;3;4;3
Jägerdeck: Hai;Cyberdecks;8;10;1;8;10;6
Jägerdeck: Tiger;Cyberdecks;6;8;1;6;8;5
Jägerdeck: Wolf;Cyberdecks;4;5;1;4;5;4
Little Hornet;Cyberdecks;2;5;4;1;1;2
MCT Trainee;Cyberdecks;1;2;1;1;2;1
Microdeck Peak;Cyberdecks;1;4;3;3;1;1
Microdeck Summit;Cyberdecks;1;4;3;3;1;1
Microtrónica Azteca 200;Cyberdecks;2;5;4;3;2;2
Microtrónica Azteca 300;Cyberdecks;3;7;5;3;1;3
MSI Falke;Cyberdecks;4;7;6;5;4;4
Novatech Navigator;Cyberdecks;3;6;5;4;3;3
Radio Shack PCD-100;Cyberdecks;2;5;4;3;2;2
Radio Shack PCD-500;Cyberdecks;1;2;2;1;1;1
Renraku Tsurugi;Cyberdecks;3;6;5;5;3;3
Resonanz-Deck;Cyberdecks;4;7;5;5;4;4
Ring of Light Special;Cyberdecks;4;8;1;2;6;3
Shiawase Cyber-4;Cyberdecks;4;8;6;4;2;3
Shiawase Cyber-5;Cyberdecks;5;8;7;6;5;5
Sicherheitsdeck: Festung;Cyberdecks;6;6;1;5;8;3
Sicherheitsdeck: Große Mauer;Cyberdecks;8;8;1;6;10;4
Sicherheitsdeck: Schild;Cyberdecks;4;4;1;3;5;2
Sicherheitsdeck: Wache;Cyberdecks;2;3;1;2;4;1
Sony CIY-720;Cyberdecks;4;7;6;5;4;4
Sony CTY-360;Cyberdecks;3;6;5;4;3;3
Xiao MPG-1;Cyberdecks;4;8;5;4;3;3
Yak Killer;Cyberdecks;3;7;6;2;3;2
