Name;Kategorie;Funktion;Erläuterung
Absturz;Hackingprogramme;Hilfsprogramme & System;Was Decker bei der Analyse der neuen Matrixprotokolle gelernt haben, ist, dass es sehr vorteilhaft sein kann, ein Gerät zum Neustart zu zwingen. Absturz ist ein Programm für genau diesen Zweck. Wenn es läuft, versucht es, ein Zielgerät mit einer gewaltigen Menge an Fehlern zu überuten, die einen Neustart erfordern. Dadurch steigt das Attribut Datenverarbeitung des Decks um 2, wenn damit die Handlung Gerät Neu Starten (SR5, S. 236) ausgeführt wird.
Agent;Standardprogramme;Hilfsprogramme & System;Agenten sind autonome Programme, die Stufen zwischen 1 und 6 haben. Jeder Agent nimmt einen Programmplatz im Deck eines Charakters ein. Agenten nutzen die Matrixattribute des Geräts, auf dem sie laufen. Die anderen Attribute werden durch ihre Stufe (1 bis 6) vorgegeben. Agenten haben die Fertigkeiten Computer, Hacking und Matrixkampf jeweils auf einer Stufe, die ihrer Stufe entspricht. Ein Agent läuft als Programm und kann von anderen Programmen pro tieren, die auf demselben Gerät laufen. Die Initiative eines Agenten ist gleich [Datenverarbeitung des Geräts, auf dem der Agent läuft] + Agentenstufe + 4W6. Man kann seine Agenten Matrixhandlungen für sich durchführen lassen. Wenn ein Agent läuft, hat er eine eigene Persona (und sein eigenes Icon). Ein Agent ist etwa so schlau wie ein Pilotprogramm derselben Stufe (s. Pilotprogramme, S. 267). Ein Angriff auf einen Agenten beschädigt das Gerät, auf dem er läuft, nicht den Agenten (er ist schließlich nur ein Programm). Wenn ein Charakter also einen Agenten auf seinem Deck laufen lässt, teilen sich die Persona des Agenten und seine Persona den Matrix-Zustandsmonitor
Aufspüren;Hackingprogramme;Heimlichkeit & Infiltration;Dieses Programm späht die Ziele des Charakters für ihn aus und macht es leichter, sie in der physischen Welt zu finden. Der Charakter erhält einen Bonus von +2 auf Datenverarbeitung bei der Handlung Icon Aufspüren. Wenn sein Gegner das Programm Irreführung laufen hat, heben die beiden Wirkungen einander einfach auf. Das Programm hat in diesem Fall keine weitere Wirkung.
Ausnutzen;Hackingprogramme;Heimlichkeit & Infiltration;Dieses Programm sucht und analysiert die Schwächen von Firewalls. Der Charakter erhält einen Bonus von +2 auf das Attribut Schleicher, wenn er die Handlung Eiliges Hacken durchführt
Babymonitor;Hackingprogramme;Hilfsprogramme & System;Dieses Programm basiert auf Algorithmen, die der Grid Overwatch Division gestohlen wurden. Es verfolgt die Aktivitäten des Charakters in der Matrix und sorgt dafür, dass er jederzeit seinen aktuellen Overwatch-Wert kennt.
Biofeedback;Hackingprogramme;Offensiv & Kampf;Wenn der Charakter angreift, versieht dieses Programm seine Angriffe gegen andere Icons mit gefährlichen Biofeedback-Signalen, wie sie von Schwarzem IC und den G-Men benutzt werden. Dieses Programm funktioniert nur gegen biologische Ziele (wie zum Beispiel Sicherheitsspinnen). Wenn der Angriff des Charakters erfolgreich Matrixschaden verursacht, wird das Ziel von derselben Menge an Geistigem (bei kaltem Sim) oder Körperlichem (bei heißem Sim) Schaden durch Biofeedback getroffen. Auch der Matrixschaden durch misslungene Angriffshandlungen gegen den Charakter wird beim Angreifer um Biofeedback-Schaden vermehrt. Schaden durch Biofeedback wird mit Willenskraft + Firewall widerstanden
Biofeedback-Filter;Hackingprogramme;Defensiv & Schutz;Dieses Programm dient als eine Art Firewall für das Sim-Modul und gewährt dem Charakter einen Würfelpoolbonus von +2 zum Widerstand gegen Schaden durch Biofeedback.
Blackout;Hackingprogramme;Offensiv & Kampf;Das ist die nettere Version des Programms Biofeedback. Es funktioniert genauso, verursacht aber (auch bei heißem Sim) nur Geistigen Schaden durch Biofeedback.
Bootstrap;Standardprogramme;Hilfsprogramme & System;Ein Werkzeug für IT-Experten, die mit dem Bootcode von Geräten arbeiten. Bootstrap wurde häufig von Hackern missbraucht und erlaubt es, versteckte Befehle in ein Gerät zu schreiben, die ab dem nächsten Neustart ausgeführt werden. Beliebte Optionen sind: das Gerät dazu zu zwingen, dass es seinen Standort bei der nächsten Verbindung mit der Matrix bekanntgibt, die Geräteattribute nach Wahl des Deckers festzulegen, den Besitzer des Geräts mit dauernden Forderungen nach Besitzerrechten zu nerven, oder alle Aktivitäten des Geräts aufzeichnen zu lassen. Dieses Programm gestattet es, viele verschiedene Abläufe durch die Handlung Gerät Formatieren (SR5, S. 236) vorzugeben, statt das Gerät dadurch nur auszuschalten
Datenbewertung;Hackingprogramme;Hilfsprogramme & System;Dieses Programm nutzt regelmäßige Informationsupdates aus Schwarzen Mailboxen, die Datenauktionen beobachten, um zu berechnen, wie viel eine gewisse Datenmenge wert sein könnte. Dadurch ist der Decker in der Lage, nur so viele Daten anzugreifen, dass es nicht allzu viel Aufmerksamkeit auf ihn zieht, wenn er während eines Jobs nebenher ein paar Daten klauen will.
