Name;Kategorie;Erläuterung
Alles oder nichts;Vorteile;Perfekt für schnelle, aggressive Hacks. Wenn du versuchst, mit einer einzigen komplexen Handlung (Brute Force oder Eiliges Hacken) direkt drei Marken auf einmal auf einem Zielsymbol zu platzieren, reduziert sich dein Würfelpoolmalus dafür von den üblichen -10 auf nur noch -6.
Analytischer Geist;Vorteile;Ein Analytischer Geist hat eine Begabung dafür, Informationen logisch zu analysieren, Problemlösungen zu finden und wichtige von unwichtigen Informationen zu unterscheiden. Das ist beim Dechiffrieren, Lösen von Rätseln, Erkennen von Fallen und Durchkämmen von Datensätzen hilfreich. Dieser Vorteil gewährt dem Charakter einen Würfelpoolmodi kator von +2 auf alle Proben mit Logik, bei denen es um das Erkennen von Mustern, Analysieren oder Finden von Hinweisen oder das Lösen von Rätseln geht. Außerdem senkt dieser Vorteil die Zeit, die der Charakter für das Lösen solcher Aufgaben braucht, um die Hälfte (aufgerundet).
Aufmerksamkeit;Vorteile;Für 5 Karma erhältst du einen Bonus von +1, für 10 Karma einen Bonus von +2 auf alle Wahrnehmungsproben. Das Geniale für Decker: Dieser Bonus gilt ausdrücklich auch für die Matrixwahrnehmung, was dir hilft, versteckte Icons, schweigende Hosts oder stille Datenbomben schneller zu entdecken.
Ausblenden;Vorteile;Ein hervorragender Fluchtweg. Wenn du die Komplexe Handlung Marke Löschen erfolgreich ausführst und damit die letzte feindliche Marke auf deinem Icon entfernst, darfst du als Teil dieser Handlung sofort eine kostenlose Verstecken-Probe ablegen, um im digitalen Raum unterzutauchen.
Brillante Heuristik;Vorteile;Jede Matrixhandlung, die das Attribut Datenverarbeitung als Limit nutzt, wird in der Hälfte der benötigten Zeit vollendet. Dieser Vorteil ist kumulativ mit ähnlichen Vorteilen wie Analytischer Geist (was die Zeit auf ein Viertel reduzieren kann).
Datenanomalie;Vorteile;Der Charakter ist jemand, der beständig am Code herumschraubt, und kennt sehr effektive Kniffe, um sein Icon zu verkleiden, sodass es nur wie ein verirrtes Datenpaket aussieht. Ein Charakter mit diesem Vorteil erhält einen Würfelpoolbonus von +2, wenn er auf Schleichfahrt ist und sich gegen die Entdeckung durch eine Matrixwahrnehmungsprobe wehrt. Leider hat diese Verkleidung eine kleine Schwäche: Sprites – diese mysteriösen Kreaturen der Matrix – können den Charakter entdecken, als wäre er nicht auf Schleichfahrt.
Deckbastler;Vorteile;Ideal für Tüftler. Du kannst ein zusätzliches Cyberdeck-Modul (Hardware-Zubehör) fest in dein Deck einbauen. Dieser Vorteil kann insgesamt nur einmal gewählt werden.
Gelöscht;Vorteile;Deine SIN (System-Identifikationsnummer) wurde aktiv und vollständig gelöscht. Niemand kann dich über eine einfache Matrixsuche aufspüren, man muss dich stattdessen mühsam über reale Beinarbeit suchen. (Hinweis: Es bringt Einschränkungen beim Lebensstil mit sich – maximal Mittelschicht – und gefälschte SINs funktionieren für dich maximal 3 Monate).
Goldener Schraubendreher;Vorteile;"Das kann jedem passieren: Man unterschätzt den Gegner, und irgendetwas wird lahmgelegt. Vielleicht ist es das Deck. Vielleicht sind es die Cyberaugen. Die legt man doch gerne lahm, oder? Kein Problem, Chummer. Der Charakter hat schon Schlimmeres erlebt. Er ist so sehr daran gewöhnt, Matrixschaden zu reparieren, dass er das im Schlaf kann. Jeder Erfolg bei der entsprechenden Probe auf Hardware + Logik (SR5, S. 226) senkt den Matrixschaden um 1 Kästchen und zugleich den Zeitaufwand dafür um die Hälfte; der Charakter muss die Erfolge also nicht mehr auf die beiden Wirkungen aufteilen."
I C U;Vorteile;In den Schatten sind alle immer auf Schleichfahrt, oder? Der Charakter aber weiß, dass ein offenkundiger Mangel an Aktivität verdächtig ist. Er ist so sehr darauf eingestellt, dass er genau weiß, wonach er suchen muss. Wenn er ein Ziel im Blickfeld hat, das auf Schleichfahrt läuft oder Geräte auf Schleichfahrt mit sich führt, erhält er einen Würfelpoolbonus von +2 auf seine Matrixwahrnehmung zum Entdecken solcher Icons.
Programmiergenie;Vorteile;Einsen und Nullen sind für das Programmiergenie quasi die Muttersprache. Der Charakter beherrscht eine bestimmte Matrixhandlung (die er beim Erwerb dieses Vorteils festlegt) besonders gut und erhält, wenn er sie durchführt, einen Würfelpoolmodi kator von +2. Dieser Vorteil kann nur für Matrixhandlungen (S. 234) gewählt werden, die eine Probe erfordern.
Schmerzbeschleunigt;Vorteile;Virtuelle Realität – besonders heißes Sim – kann süchtig machen. Was die Masse aber nicht begreift, ist, wie großartig es wirklich ist, durch die Matrix zu rasen. Nicht nur das Feedback von SimSinn. Nein. Für den Charakter ist es auch der Nervenkitzel des Kampfes. Er fühlt sich erst richtig lebendig, wenn ihn weißglühender Schmerz zwischen die Augen trifft, weil das IC ihn röstet. Das Wissen darum, dass er sein Leben riskiert und gedankenschnell darum kämpfen muss, treibt ihn an. Wenn der Charakter in einer Kampfrunde (Geistigen oder Körperlichen) Schaden durch Biofeedback erleidet, steigt sein Initiativeergebnis um +2. Diese Steigerung tritt ein, sobald er den Schaden erlitten hat, und hält bis zum Ende der entsprechenden Kampfrunde an. Innerhalb derselben Kampfrunde kann das Initiativeergebnis dadurch nicht um mehr als +2 steigen, egal wie oft der Charakter verletzt wird.
Schnellkonfiguration;Vorteile;Vielleicht ist der Charakter einfach übermenschlich schnell mit seinen Fingern, oder vielleicht ist sein Geist einfach sehr gut organisiert. Jedenfalls ist er unheimlich schnell darin, sein Deck umzukongurieren. Wenn der Charakter sein Deck umkonguriert (SR5, S. 225), kann er mit einer einzigen Freien Handlung zwei Veränderungen vornehmen. Er kann also zwei Programme gegen andere austauschen oder zwei Attributspaare des Decks vertauschen. Zusätzlich kann er auch entweder zwei Programmplätze freimachen, zwei Programme in freie Programmplätze laden oder einen Programmplatz freimachen und ein Programm in den freigemachten Platz laden . Er kann auch jeweils ein Attributspaar und ein Programm vertauschen. Ein einzelnes Attribut kann allerdings mit dieser Freien Handlung nur einmal vertauscht werden.
Schweigen ist Gold;Vorteile;Es könnte eine Anämie wegen zu viel Soykaf sein, oder vielleicht liegt es auch am Charakter selbst – vielleicht mag ihn die Matrix einfach. Jedenfalls ist der allgegenwärtige Lärm des Rauschens der Matrix in der Nähe des Charakters etwas gedämpft. Die Rauschen-Modifikatoren für den Charakter und alle in 10 Metern Umkreis um ihn herum werden um 2 gesenkt. Jeder, der versucht, von außerhalb dieses Umkreises eine Verbindung zum Charakter herzustellen, profitiert nicht von dieser Senkung.
Systemlücke;Vorteile;Der Charakter weiß, wie man die Lücken eines Systems findet, selbst wenn sie winzig sind. Es braucht viel geistige Stärke und Präzision, um den Code genau richtig hinzukriegen und das schwächste Glied der Kette zu treffen. Und Glück schadet dabei auch nicht. Als Freie Handlung kann der Charakter einen Würfelpoolmalus von -8 bei seiner nächsten Handlung Datenspike oder Resonanzspike in derselben Kampfrunde in Kauf nehmen. Wenn er mit der Handlung erfolgreich ist, kann er seine Gerätestufe zum Schaden des Angriffs addieren.
Übertakter;Vorteile;Dieser Vorteil erlaubt es dir, das absolute Maximum aus deiner Hardware herauszukitzeln. Du darfst bei deinem Cyberdeck eines der vier Matrixattribute (Angriff, Schleicher, Datenverarbeitung, Firewall) dauerhaft um 1 Stufe erhöhen. Dieser zusätzliche Punkt kann bei einer Umkonfiguration des Decks nach Belieben neu verteilt werden.
Unerschütterliche Logik;Vorteile;Einige würden von Vorahnungen sprechen – dieser Hacker spricht von schnellem Denken. Wenn etwas in der Matrix schiefzulaufen beginnt, bleibt er ruhig und konzentriert und lässt sich etwas einfallen. Was ihm durchaus helfen könnte, wenn brutales IC auf ihn einstürmt. Ein Charakter mit diesem Vorteil kann bei Voller Matrixabwehr Logik statt Willenskraft verwenden.
Vertrautes Terrain;Vorteile;Mit diesem Vorteil betrachten Decker einen bestimmten Host als ihr persönliches Revier. Auf alle Matrixproben innerhalb dieses vertrauten Hosts erhältst du einen Würfelpoolbonus von +2. (Hinweis: Der Bonus verfällt, wenn du den Host länger als sechs Monate nicht besucht hast).
Wundersame Rettung;Vorteile;Auch die Besten können erwischt werden. Vielleicht ist der Charakter gerade in einem Host und kämpft gegen IC, aber es ist einfach zu viel davon da. Vielleicht bendet er sich mitten in einem Schusswechsel, der feindliche Hacker erwischt ihn, und sein Deck könnte gleich lahmgelegt werden – und plötzlich versagt die Matrix. Ein kleiner, örtlicher Reset rettet den Charakter. Einfach so. Wie wahrscheinlich ist das bitte? Vielleicht ist GOD auf seiner Seite. Kann nicht sein – der Charakter ist einfach so gut. Als Freie Handlung kann der Charakter 1 Punkt Edge ausgeben, um alle Marken zu löschen, die ein einzelner Gegner auf ihm platziert hat. Falls andere Gegner die Marken dieses Charakters geteilt haben (wie zum Beispiel bei IC in einem Host), verlieren sie ihre Marken ebenfalls.
